scenario,count_SNP_1,count_SNP_2,count_SNP_3,count_SNP_4,count_SNP_5,count_SNP_6,count_SNP_7,count_SNP_8,count_SNP_9,count_SNP_10,count_SNP_11,count_SNP_12,count_SNP_13,count_SNP_14,count_SNP_15,count_SNP_16,count_SNP_17,count_SNP_18,count_SNP_19,count_SNP_20,count_SNP_21,count_SNP_22,count_SNP_23,count_SNP_24,count_SNP_25,count_SNP_26,count_SNP_27,count_SNP_28,count_SNP_29,count_SNP_30,count_SNP_31,count_SNP_32,count_SNP_33,count_SNP_34,count_SNP_35,count_SNP_36,count_SNP_37,count_SNP_38,count_SNP_39,count_SNP_40,count_SNP_41,count_SNP_42,count_SNP_43,count_SNP_44,count_SNP_45,count_SNP_46,count_SNP_47,count_SNP_48,count_SNP_49,mean_r2_0,mean_r2_1,mean_r2_2,mean_r2_3,mean_r2_4,mean_r2_5,mean_r2_6,mean_r2_7,mean_r2_8,mean_r2_9,mean_r2_10,mean_r2_11,mean_r2_12,mean_r2_13,mean_r2_14,mean_r2_15,mean_r2_16,mean_r2_17,mean_r2_18
Medium,190.07,95.29,63.98,43.87,38.83,34.52,28.83,24.73,21.25,15.66,17.95,16.68,14.23,14.82,12.47,12.09,11.24,9.82,10.78,9.06,9.48,7.58,8.29,8.27,7.7,7.07,6.74,5.77,7.4,6.7,6.31,6.4,5.86,4.54,4.37,5.32,4.49,5.73,5.07,3.33,3.54,4.69,4.16,5.63,4.2,3.37,3.97,3.89,3.72,0.19292380584836127,0.21583436089532226,0.20536842620544182,0.21668672982019932,0.20601337926568813,0.20469978322935345,0.1934406582298489,0.190239087229142,0.17774962959863472,0.17578949870215832,0.172612497308281,0.16500075810834544,0.15397948045701138,0.1357169660162743,0.11748831996281389,0.09652059122274313,0.07425746081208727,0.05919801441972714,0.05108443109079626
Large,1961.29,993.59,659.07,498.11,399.2,332.07,281.52,248.6,219.37,202.18,178.99,163.98,154.53,146.12,131.28,124.65,118.32,114.88,106.42,100.85,96.1,93.79,86.58,81.87,79.38,78.49,72.66,72.64,67.46,67.58,65.92,64.4,61.64,57.75,56.83,56.06,53.09,52.02,49.94,50.33,48.89,49.03,46.01,46.05,45.59,44.45,41.13,42.82,42.54,0.21193887844617115,0.1996245677606428,0.18893684596781385,0.17440187493862538,0.15806169967974956,0.14176375932897756,0.12028040838389518,0.10101367824042443,0.08155285023911718,0.06361760990938707,0.0511686255000858,0.04074802112345394,0.032828274334857806,0.02726042650411723,0.025467017509284217,0.022846388754470127,0.022372894177019775,0.02133694218600411,0.020392583566036585
Decline,97.66,76.17,61.62,62.93,71.07,76.35,69.48,65.49,65.71,55.47,57.36,55.68,56.19,57.75,54.11,48.13,53.03,43.48,45.76,50.81,49.08,45.27,47.76,36.22,39.31,35.6,44.78,36.89,46.92,42.83,34.95,34.07,40.56,37.78,38.38,40.25,37.21,37.11,38.06,34.29,39.21,34.24,36.56,42.1,34.04,28.44,27.51,28.05,33.98,0.7445198680070146,0.7349369129283653,0.729329740174751,0.7179993304333265,0.7011551617674256,0.6825608638698681,0.6625786903755473,0.6351003971855712,0.6068323557856449,0.567063456052782,0.5221046325726413,0.4767321903277592,0.42228602296845624,0.36839547966251873,0.30223351177990254,0.24045883474103832,0.19934144733687892,0.1451237013754724,0.116922390933444
Expansion,547.26,143.77,67.09,42.46,29.13,21.4,16.93,14.18,12.86,9.52,8.26,8.39,6.96,6.99,6.17,6.16,5.49,5.32,5.63,5.28,4.78,4.31,4.52,3.69,4.01,3.36,3.3,3.71,3.1,3.69,3.28,3.09,2.7,2.7,2.29,2.23,2.09,2.09,1.85,1.88,2.57,2.07,1.93,1.94,1.82,2.48,2.14,1.12,1.61,0.05477971848777129,0.05042926407957136,0.05369972775503057,0.056337980107205504,0.057210386478801716,0.0593548722058629,0.05643269291980316,0.056198176802382996,0.05401678584395876,0.054103569438321626,0.051166211576793234,0.04740509871157221,0.04531612714217415,0.040763788297772566,0.03387233958704922,0.028057489338511297,0.02611177062287779,0.02327070193182411,0.02349926167032522
Bottleneck,1162.52,388.47,210.74,152.01,120.96,103.77,90.22,84.66,76.55,69.98,65.29,58.53,57.22,51.59,50.83,45.48,42.22,38.64,37.43,34.4,32.18,29.89,28.42,27.65,25.88,24.96,23.32,22.21,20.67,19.72,18.86,18.14,17.27,17.7,16.08,15.53,14.55,14.24,13.68,12.85,11.84,12.5,11.26,11.12,10.65,9.04,8.67,9.13,8.31,0.12901773236055777,0.12949369962560214,0.12926894349696127,0.12870125933894713,0.12292361960544522,0.11873723987200807,0.11366338384621687,0.10415693104408456,0.0932765310509898,0.07823295439149361,0.06479195780267705,0.0495704812797234,0.036274068553241716,0.0280550448225667,0.02394894631488078,0.023474599976051492,0.021521583990394926,0.02169134726051735,0.020711636046162156
Zigzag,697.64,343.13,227.08,162.58,127.68,105.88,92.0,78.56,72.92,66.39,60.75,56.53,52.48,49.3,45.65,44.03,41.61,38.32,36.45,33.83,31.89,30.33,28.61,26.83,25.99,24.03,23.62,23.6,21.75,20.11,19.14,18.51,17.61,17.56,15.97,14.8,14.54,14.04,12.45,12.46,12.74,11.1,11.29,11.43,9.67,10.59,10.23,9.53,8.86,0.16751300277334547,0.16317076933843194,0.1652801129070085,0.16409312235787327,0.16125666618614568,0.15705218514298655,0.147414672691804,0.13879316397114913,0.12436757972088174,0.10628551913162401,0.08675209011455148,0.06731911907510951,0.05297313797448406,0.04348120739744038,0.03345672854521341,0.02827151146785674,0.02482194853281812,0.02379352237717879,0.02142516418631755
