scenario,count_SNP_1,count_SNP_2,count_SNP_3,count_SNP_4,count_SNP_5,count_SNP_6,count_SNP_7,count_SNP_8,count_SNP_9,count_SNP_10,count_SNP_11,count_SNP_12,count_SNP_13,count_SNP_14,count_SNP_15,count_SNP_16,count_SNP_17,count_SNP_18,count_SNP_19,count_SNP_20,count_SNP_21,count_SNP_22,count_SNP_23,count_SNP_24,count_SNP_25,count_SNP_26,count_SNP_27,count_SNP_28,count_SNP_29,count_SNP_30,count_SNP_31,count_SNP_32,count_SNP_33,count_SNP_34,count_SNP_35,count_SNP_36,count_SNP_37,count_SNP_38,count_SNP_39,count_SNP_40,count_SNP_41,count_SNP_42,count_SNP_43,count_SNP_44,count_SNP_45,count_SNP_46,count_SNP_47,count_SNP_48,count_SNP_49,mean_r2_0,mean_r2_1,mean_r2_2,mean_r2_3,mean_r2_4,mean_r2_5,mean_r2_6,mean_r2_7,mean_r2_8,mean_r2_9,mean_r2_10,mean_r2_11,mean_r2_12,mean_r2_13,mean_r2_14,mean_r2_15,mean_r2_16,mean_r2_17,mean_r2_18
Medium,188.99,100.22,67.58,49.77,39.79,31.12,26.98,25.11,20.53,19.18,17.49,16.06,14.98,13.36,12.52,12.37,10.15,10.73,9.53,9.02,9.45,8.83,8.6,8.73,8.77,7.63,7.15,7.19,6.79,6.26,5.99,5.81,5.29,5.3,5.73,5.2,4.82,4.59,4.48,4.2,4.04,5.4,3.93,4.21,3.99,4.37,5.48,3.7,3.47,0.20141610263059445,0.2110481748546848,0.21584307580911602,0.21345027764539398,0.21128985436474007,0.2048523266699106,0.19607532011669654,0.18069661108373716,0.16651075123777162,0.15550526697179345,0.1339252505164017,0.11569838835768753,0.09545450023112491,0.07729332359682822,0.05998170269091757,0.046399975471396473,0.03571269232751115,0.03086659624830271,0.02827838276610417
Large,1970.64,994.09,657.73,496.94,398.15,337.64,285.1,252.55,222.76,197.69,180.21,171.43,154.35,144.76,134.02,127.13,114.59,108.39,104.62,101.11,97.85,95.07,86.12,83.2,79.97,76.52,72.03,72.11,70.68,68.15,63.14,62.08,61.29,61.53,57.35,56.34,52.33,56.22,52.93,49.87,49.72,50.68,49.61,46.71,43.69,43.77,42.39,43.26,41.51,0.21630489373247413,0.2066011863157684,0.19633602232354622,0.18204598089947224,0.16534725017614182,0.14751941599692642,0.1330294070821228,0.11326444997204192,0.09499369902648784,0.0734003851322202,0.05828635697125498,0.047310646182760235,0.03624084515011977,0.029038707703182884,0.02707265312452122,0.025934560994524382,0.022682357721657186,0.021911177458516447,0.021082189032168887
Decline,86.01,75.21,77.02,79.67,71.19,73.93,65.47,45.23,57.6,63.48,58.45,61.06,69.2,60.52,35.54,39.7,59.45,48.3,46.89,49.88,42.16,50.88,33.87,40.73,57.84,32.42,30.17,39.6,37.36,49.39,34.89,42.55,43.1,31.62,24.83,39.07,43.36,33.56,37.63,46.03,38.07,23.35,36.63,32.43,33.33,35.15,38.61,29.17,31.03,0.7507102205444346,0.751539562277217,0.7462829832275887,0.7348989110888631,0.7283001576070367,0.7105201958735415,0.6945958319457661,0.6782083299111525,0.6636963694575729,0.6461268750990918,0.6191256571604642,0.5823273677206646,0.5401034708115371,0.5025737639438869,0.4485553105280002,0.38660937592979167,0.3160886148681459,0.24918102664871436,0.22500402411215148
Expansion,543.22,149.89,70.25,43.46,28.9,22.43,18.03,15.04,12.99,11.44,9.5,8.86,8.77,7.65,7.2,6.58,6.64,5.68,5.53,5.05,4.73,4.83,4.42,4.54,4.17,4.09,3.84,3.55,3.47,3.34,3.66,3.25,2.91,3.1,2.88,3.09,2.76,2.59,2.72,2.59,2.88,2.39,2.3,2.26,2.22,2.17,2.38,1.76,1.93,0.06960902042731865,0.06850133649937913,0.06988196040661401,0.06210269777804463,0.06908691223164626,0.06599405446547385,0.062118083220670826,0.06040078531296822,0.055899696271262504,0.05198381798056796,0.04704375189234896,0.040918131240274845,0.03294591109053485,0.028091396235180487,0.023662579552621077,0.02363416732448536,0.021874981597154192,0.020822385793815245,0.021299225926597543
Bottleneck,1157.24,383.08,214.38,148.95,120.69,102.55,90.4,82.47,74.38,67.17,61.9,58.93,52.78,49.7,46.91,43.98,40.33,39.43,35.21,34.99,33.26,31.93,29.0,27.24,25.8,24.33,23.27,22.18,21.4,19.59,17.75,18.18,17.55,17.35,16.12,16.32,14.96,14.33,13.98,13.67,12.71,12.53,10.71,11.09,10.58,10.26,10.43,10.16,8.58,0.1318556067604488,0.13248571791109712,0.1307353432624502,0.12886867345009345,0.12713137061811067,0.12009379178833735,0.11451980404685486,0.10536816756731646,0.09625757425959466,0.08068822096342881,0.06461658756109792,0.04849181422510702,0.03763746920537686,0.029842364807246634,0.024542504333157047,0.022709150714339082,0.021504391109481324,0.020080120605181145,0.02151497291284467
Zigzag,689.63,334.49,225.79,163.22,131.35,110.19,91.55,81.96,74.73,67.97,61.35,57.92,55.17,49.0,47.83,43.81,42.46,40.44,36.45,34.88,31.53,30.34,28.98,27.63,25.21,24.43,25.39,22.96,20.43,20.86,18.61,17.77,17.98,15.46,15.26,15.07,14.19,13.92,12.16,13.1,12.69,10.64,11.14,11.04,10.72,10.55,9.07,8.58,8.43,0.16444009459741968,0.1641463614602131,0.1652502231604285,0.16382609665107162,0.16244107354208245,0.1579791793838033,0.14953765631865237,0.14148138648660033,0.13081773330059612,0.11518489249211339,0.09861901200154549,0.07657902076804589,0.05926739124658791,0.046680633696668784,0.037196475920712804,0.029945943847803046,0.026701699583049236,0.024271948061280288,0.021570182832812312
